Timestamp,CPU Usage(%),Memory Usage(%),IO(Disk) Read(MB),IO(Disk) Write(MB),Disk Usage(%),OS User Time(s),OS System Time(s),OS Idle Time(s)
2025-03-16 23:16:32,17.7,81.6,140625.65234375,293446.86328125,49.1,19334.76,9738.28,160907.08
2025-03-16 23:16:38,9.3,80.6,140651.19921875,293451.52734375,49.1,19338.63,9740.11,160949.12
2025-03-16 23:16:44,21.9,79.4,140702.62890625,293571.5859375,49.1,19345.04,9743.94,160986.32
2025-03-16 23:16:50,13.8,80.7,140702.8984375,293571.609375,49.1,19349.22,9745.72,161028.17
2025-03-16 23:16:56,8.9,79.9,140731.09375,293690.15234375,49.1,19353.32,9748.42,161068.94
2025-03-16 23:17:02,8.0,80.2,140733.05859375,293690.78515625,49.1,19356.03,9749.64,161112.89
2025-03-16 23:17:08,16.6,81.2,140781.53125,293807.015625,49.1,19359.86,9752.34,161154.03
2025-03-16 23:17:14,21.4,82.1,140804.6640625,293869.11328125,49.0,19363.68,9755.09,161195.07
2025-03-16 23:17:20,17.7,79.8,140817.1953125,293935.78515625,49.1,19368.15,9756.81,161236.56
2025-03-16 23:17:26,33.1,79.6,140868.83203125,294072.8828125,49.1,19372.31,9759.87,161276.73
2025-03-16 23:17:32,11.1,82.9,141059.38671875,294147.63671875,49.1,19379.21,9765.64,161310.19
2025-03-16 23:17:38,9.7,80.2,141141.328125,294264.6328125,49.1,19382.72,9768.52,161351.42
2025-03-16 23:17:44,5.2,81.6,141150.01171875,294273.15234375,49.1,19385.86,9770.19,161394.31
2025-03-16 23:17:50,6.0,80.7,141183.56640625,294389.0390625,49.1,19388.39,9772.6,161437.07
2025-03-16 23:17:56,12.5,82.0,141190.32421875,294389.5,49.1,19390.51,9773.8,161481.64
2025-03-16 23:18:02,5.4,81.0,141221.05859375,294509.6015625,49.1,19392.91,9775.69,161525.09
2025-03-16 23:18:08,26.9,82.4,141251.671875,294621.6796875,49.1,19395.33,9777.77,161568.36
2025-03-16 23:18:14,5.5,81.3,141257.609375,294629.09375,49.1,19397.88,9779.31,161611.87
2025-03-16 23:18:20,17.9,80.7,141290.21875,294746.0078125,49.1,19400.68,9781.69,161654.39
2025-03-16 23:18:26,5.9,81.2,141299.75,294748.3671875,49.1,19402.93,9782.67,161699.03
2025-03-16 23:18:32,4.9,81.3,141327.93359375,294867.19140625,49.1,19405.84,9784.96,161741.58
2025-03-16 23:18:38,6.1,81.7,141329.78125,294868.25390625,49.1,19406.99,9785.7,161787.58
2025-03-16 23:18:44,5.7,81.5,141361.1953125,294985.28125,49.1,19410.15,9787.87,161829.99
2025-03-16 23:18:50,22.1,82.6,141377.18359375,294987.72265625,49.1,19411.61,9789.53,161874.7
2025-03-16 23:18:56,5.0,81.6,141512.59375,295106.3984375,49.1,19415.48,9791.86,161916.13
2025-03-16 23:19:02,20.6,83.7,141542.34765625,295221.59375,49.1,19418.7,9794.56,161957.94
2025-03-16 23:19:08,8.3,82.9,141559.9296875,295227.5390625,49.1,19421.78,9796.58,162000.4
2025-03-16 23:19:14,10.9,80.9,141595.07421875,295364.9375,49.1,19424.77,9799.76,162041.56
2025-03-16 23:19:20,7.2,81.9,141596.00390625,295365.0234375,49.1,19426.76,9800.61,162086.66
2025-03-16 23:19:26,7.8,81.1,141631.14453125,295481.91796875,49.1,19429.83,9802.85,162129.06
2025-03-16 23:19:32,7.4,82.5,141633.015625,295481.92578125,49.1,19431.85,9803.77,162174.04
2025-03-16 23:19:38,6.6,81.6,141674.3984375,295601.6796875,49.1,19435.01,9805.97,162216.43
2025-03-16 23:19:44,18.8,83.1,141700.9140625,295713.71875,49.1,19436.73,9807.81,162260.55
2025-03-16 23:19:50,19.2,81.5,141707.265625,295718.33203125,49.1,19440.27,9808.91,162303.8
2025-03-16 23:19:57,23.9,81.4,141750.2578125,295843.1171875,49.1,19446.24,9812.8,162341.43
2025-03-16 23:20:03,5.4,81.4,141755.8046875,295843.3203125,49.1,19448.29,9814.14,162385.92
2025-03-16 23:20:09,20.5,82.5,141805.125,295963.03515625,49.1,19452.76,9817.55,162425.6
2025-03-16 23:20:15,16.9,83.5,141924.0234375,295967.48828125,49.1,19459.92,9821.28,162462.15
2025-03-16 23:20:21,8.6,82.2,141959.28515625,296086.51171875,49.1,19463.26,9823.9,162503.98
2025-03-16 23:20:27,18.2,83.2,141969.90625,296086.80078125,49.1,19466.07,9825.81,162547.04
2025-03-16 23:20:33,12.1,82.2,141994.3984375,296207.328125,49.1,19469.34,9827.62,162589.71
2025-03-16 23:20:39,20.1,83.7,142022.7265625,296319.8515625,49.1,19472.11,9829.75,162632.6
2025-03-16 23:20:45,5.9,81.8,142032.42578125,296328.89453125,49.1,19474.19,9830.85,162677.19
2025-03-16 23:20:51,10.1,81.2,142067.9609375,296462.328125,49.1,19476.74,9833.29,162719.75
2025-03-16 23:20:57,9.4,82.5,142080.8046875,296463.07421875,49.1,19481.69,9835.26,162760.54
2025-03-16 23:21:03,7.1,80.3,142110.9765625,296581.39453125,49.1,19485.87,9838.41,162800.9
2025-03-16 23:21:09,11.7,82.4,142115.37890625,296582.6328125,49.1,19487.43,9839.67,162845.89
2025-03-16 23:21:15,6.5,80.9,142142.078125,296701.796875,49.1,19490.21,9842.08,162888.35
2025-03-16 23:21:21,19.2,83.1,142167.765625,296798.015625,49.1,19492.62,9844.22,162931.48
2025-03-16 23:21:27,5.4,81.4,142176.40625,296818.48828125,49.1,19495.34,9845.41,162975.44
2025-03-16 23:21:33,25.3,80.9,142203.84375,296938.6015625,49.1,19498.85,9847.53,163017.55
2025-03-16 23:21:39,5.9,81.5,142204.7890625,296938.69140625,49.1,19500.5,9848.45,163062.86
2025-03-16 23:21:45,8.5,81.0,142233.578125,297060.046875,49.1,19505.49,9851.39,163102.42
2025-03-16 23:21:51,23.4,82.8,142243.87890625,297063.015625,49.1,19508.63,9852.83,163145.57
2025-03-16 23:21:57,15.0,83.6,142317.61328125,297205.32421875,49.1,19517.4,9857.86,163179.02
2025-03-16 23:22:03,30.7,84.2,142424.39453125,297260.5234375,49.1,19523.08,9863.03,163215.21
2025-03-16 23:22:09,11.0,82.0,142545.46875,297433.29296875,49.1,19527.96,9865.87,163254.91
2025-03-16 23:22:15,23.1,83.7,142584.9765625,297548.7890625,49.1,19532.31,9868.68,163295.31
2025-03-16 23:22:21,10.5,82.4,142589.8203125,297557.08984375,49.1,19536.49,9870.09,163337.51
2025-03-16 23:22:27,17.3,80.7,142627.4375,297674.26953125,49.1,19541.91,9873.07,163376.75
2025-03-16 23:22:33,10.8,81.9,142637.1796875,297676.5703125,49.1,19545.64,9874.25,163419.7
2025-03-16 23:22:39,11.4,81.5,142677.546875,297811.69921875,49.1,19550.47,9877.15,163459.54
2025-03-16 23:22:45,10.2,82.2,142678.85546875,297813.0390625,49.1,19554.89,9878.36,163501.68
2025-03-16 23:22:51,15.4,81.5,142707.9453125,297930.8359375,49.1,19559.18,9880.85,163542.68
2025-03-16 23:22:57,23.8,82.6,142712.5546875,297931.07421875,49.1,19562.7,9882.57,163585.3
2025-03-16 23:23:03,7.5,80.7,142743.6640625,298049.69921875,49.1,19566.37,9884.47,163627.42
2025-03-16 23:23:09,21.3,83.5,142784.78515625,298162.4375,49.1,19570.6,9887.41,163667.82
2025-03-16 23:23:15,8.3,81.6,142789.24609375,298169.6640625,49.1,19574.78,9888.65,163710.28
2025-03-16 23:23:21,12.2,80.8,142821.4765625,298285.82421875,49.1,19578.63,9891.05,163751.67
2025-03-16 23:23:27,8.9,81.9,142826.671875,298288.19140625,49.1,19582.69,9892.2,163794.33
2025-03-16 23:23:33,17.5,80.6,142855.96484375,298406.953125,49.1,19588.01,9894.81,163834.14
2025-03-16 23:23:39,8.6,81.4,142860.66015625,298409.3671875,49.1,19591.77,9895.83,163877.25
2025-03-16 23:23:45,8.1,81.4,142889.95703125,298526.6171875,49.1,19596.4,9898.41,163917.78
2025-03-16 23:23:51,21.4,82.7,142894.4140625,298526.8046875,49.1,19600.04,9900.28,163960.14
2025-03-16 23:23:57,7.4,81.7,142921.78125,298647.0,49.1,19604.27,9901.72,164002.34
2025-03-16 23:24:03,28.6,82.8,142954.80859375,298760.4609375,49.1,19608.77,9904.71,164042.52
2025-03-16 23:24:09,9.1,81.5,142960.8203125,298764.5859375,49.1,19612.58,9906.4,164084.81
2025-03-16 23:24:15,10.4,80.6,142990.15625,298889.1953125,49.1,19617.45,9909.16,164124.84
2025-03-16 23:24:21,7.1,81.7,142990.38671875,298889.20703125,49.1,19620.64,9910.05,164168.66
2025-03-16 23:24:27,7.0,81.1,143030.2265625,299023.40234375,49.1,19625.5,9912.71,164208.71
2025-03-16 23:24:33,8.2,81.8,143031.98828125,299023.6953125,49.1,19628.86,9913.59,164252.37
2025-03-16 23:24:39,14.2,81.2,143061.2890625,299139.38671875,49.1,19633.52,9915.94,164293.15
2025-03-16 23:24:45,20.8,83.0,143083.1875,299210.171875,49.1,19637.63,9918.55,164334.23
2025-03-16 23:24:51,7.3,81.4,143092.1484375,299258.92578125,49.1,19641.0,9919.7,164377.56
2025-03-16 23:24:57,16.9,82.3,143122.3828125,299375.125,49.1,19645.89,9921.94,164418.25
2025-03-17 03:21:33,11.1,81.1,169115.921875,362559.11328125,49.2,23130.35,11808.99,200368.04
