Timestamp,CPU Usage(%),Memory Usage(%),IO(Disk) Read(MB),IO(Disk) Write(MB),Disk Usage(%),OS User Time(s),OS System Time(s),OS Idle Time(s)
2025-03-16 21:16:53,35.3,80.0,110092.84765625,237407.22265625,49.0,15877.48,7826.39,130135.43
2025-03-16 21:16:59,17.5,79.2,110096.53125,237408.234375,49.0,15886.63,7828.22,130172.16
2025-03-16 21:17:05,10.5,79.9,110149.15234375,237530.953125,49.0,15894.07,7832.32,130207.93
2025-03-16 21:17:11,30.6,80.4,110159.2578125,237540.59765625,49.0,15902.21,7835.52,130243.99
2025-03-16 21:17:17,17.1,80.5,110196.93359375,237663.73046875,49.0,15911.25,7840.21,130277.4
2025-03-16 21:17:23,27.9,80.6,110232.921875,237788.10546875,49.0,15915.64,7843.57,130317.04
2025-03-16 21:17:29,12.2,78.9,110236.26953125,237799.92578125,49.0,15919.47,7845.48,130358.98
2025-03-16 21:17:35,11.8,78.0,110261.4296875,237916.19140625,49.0,15922.95,7847.98,130400.65
2025-03-16 21:17:41,8.3,78.6,110263.2578125,237919.69140625,49.0,15925.94,7849.46,130443.89
2025-03-16 21:17:47,15.5,78.0,110292.421875,238038.31640625,49.0,15932.69,7852.7,130481.45
2025-03-16 21:17:53,13.5,79.2,110298.50390625,238038.51171875,49.0,15939.89,7853.92,130520.86
2025-03-16 21:17:59,25.8,80.3,110432.50390625,238160.06640625,49.0,15949.57,7857.66,130554.85
2025-03-16 21:18:05,36.7,80.8,110460.1953125,238229.7109375,48.9,15959.55,7860.88,130589.07
2025-03-16 21:18:11,16.9,80.0,110469.41015625,238282.23828125,49.0,15968.1,7862.6,130626.49
2025-03-16 21:18:17,31.0,81.1,110513.14453125,238401.2265625,49.0,15978.02,7866.72,130659.85
2025-03-16 21:18:23,4.1,79.4,110540.44140625,238414.43359375,49.0,15983.45,7869.18,130699.53
2025-03-16 21:18:29,5.0,78.2,110573.05078125,238535.73046875,49.0,15986.05,7871.73,130742.13
2025-03-16 21:18:35,3.5,78.5,110573.53125,238537.78515625,49.0,15987.78,7872.58,130787.44
